title,author,description,price
Atomic Habits,James Clear,An easy & proven way to build good habits & break bad ones.,299.0
The Alchemist,Paulo Coelho,A journey of a boy in search of his Personal Legend.,199.0
Ikigai,Francesc Miralles,Japanese secret to a long and happy life.,249.0
Deep Work,Cal Newport,Rules for focused success in a distracted world.,349.0
Rich Dad Poor Dad,Robert Kiyosaki,What the rich teach their kids about money.,180.0
Think and Grow Rich,Napoleon Hill,The classic personal development guide.,210.0
Start With Why,Simon Sinek,How great leaders inspire everyone to take action.,275.0
The Power of Now,Eckhart Tolle,Guide to spiritual enlightenment.,320.0
Grit,Angela Duckworth,The power of passion and perseverance.,300.0
The 5 AM Club,Robin Sharma,"Own your morning, elevate your life.",230.0
Can't Hurt Me,David Goggins,Master your mind and defy the odds.,280.0
Make Your Bed,William H. McRaven,Little things that can change your life.,190.0
The Subtle Art of Not Giving a F*ck,Mark Manson,A counterintuitive approach to living a good life.,270.0
12 Rules for Life,Jordan B. Peterson,An antidote to chaos.,290.0
Sapiens,Yuval Noah Harari,A brief history of humankind.,350.0
Educated,Tara Westover,"A memoir of family, education, and transformation.",310.0
Becoming,Michelle Obama,Memoir of the former First Lady of the United States.,340.0
Born a Crime,Trevor Noah,Stories from a South African childhood.,260.0
The Psychology of Money,Morgan Housel,"Timeless lessons on wealth, greed, and happiness.",299.0
Ego is the Enemy,Ryan Holiday,The fight to master our greatest opponent.,245.0
The Obstacle is the Way,Ryan Holiday,The timeless art of turning trials into triumph.,265.0
The Art of War,Sun Tzu,Ancient strategies for modern success.,160.0
The Lean Startup,Eric Ries,How today's entrepreneurs use continuous innovation.,360.0
Hooked,Nir Eyal,How to build habit-forming products.,295.0
Crushing It!,Gary Vaynerchuk,How great entrepreneurs build their business.,325.0
